 ================================================================================
                               TOYGENERATOR EVENTS                                       
 ================================================================================
 
   ISR generation using seed = 5234 at center of mass energy = 1.00 GeV
 
   px-      py-      pz-       E-    pmod-      th-      px+      py+      pz+       E+    pmod+      th+       qq    pgamx    pgamy    pgamz     Egam    thgam
  0.22    -0.21    -0.35     0.48     0.46   139.46    -0.22     0.20     0.22     0.39     0.37    54.46     0.72     0.00     0.01     0.14     0.14     2.78
  0.41    -0.18    -0.04     0.47     0.45    95.41    -0.41     0.18    -0.03     0.46     0.45    93.54     0.86    -0.00     0.00     0.07     0.07     0.44
  0.08     0.29     0.35     0.48     0.46    40.65    -0.08    -0.29    -0.38     0.50     0.49   141.37     0.94     0.00     0.00     0.03     0.03     2.97
 -0.43    -0.13    -0.13     0.48     0.46   105.64     0.43     0.13     0.07     0.46     0.45    81.48     0.88    -0.00     0.00     0.06     0.06     0.36
 -0.29    -0.09    -0.31     0.44     0.43   135.38     0.29     0.09     0.08     0.33     0.32    74.38     0.55    -0.00     0.00     0.22     0.22     0.04
 -0.02    -0.35    -0.19     0.41     0.40   118.58    -0.17     0.23     0.01     0.30     0.28    87.81     0.42     0.19     0.12     0.18     0.29    51.86
  0.10    -0.12     0.40     0.44     0.43    21.22    -0.10     0.12    -0.46     0.50     0.49   161.46     0.87    -0.00    -0.00     0.06     0.06     0.07
 -0.36     0.17    -0.28     0.50     0.49   125.22     0.35    -0.16     0.28     0.49     0.48    54.16     0.98     0.01    -0.01     0.00     0.01    85.78
 -0.08     0.20    -0.18     0.30     0.28   130.01    -0.03    -0.38     0.26     0.47     0.46    55.12     0.55     0.11     0.17    -0.08     0.22   111.52
 -0.02     0.18     0.15     0.26     0.24    51.81     0.00    -0.22    -0.41     0.48     0.46   151.47     0.47     0.01     0.04     0.26     0.27     8.65
 -0.18    -0.30     0.31     0.48     0.47    47.90     0.18     0.32    -0.32     0.50     0.49   131.77     0.96    -0.00    -0.02     0.01     0.02    57.87
  0.07     0.24     0.13     0.30     0.28    62.89    -0.07    -0.24    -0.37     0.46     0.45   145.47     0.52     0.00     0.00     0.24     0.24     0.19
 -0.21    -0.30    -0.31     0.49     0.48   130.32     0.21     0.30     0.27     0.47     0.46    53.13     0.93     0.00     0.00     0.04     0.04     1.28
  0.15     0.07    -0.26     0.32     0.31   147.99    -0.16    -0.06    -0.16     0.25     0.23   134.70     0.16     0.01    -0.01     0.42     0.42     1.78
 -0.32     0.10     0.34     0.49     0.48    45.18     0.32    -0.10    -0.35     0.50     0.48   136.64     0.97     0.01    -0.00     0.02     0.02    20.83
  0.30    -0.35     0.04     0.48     0.47    85.42    -0.33     0.36    -0.05     0.50     0.49    95.35     0.95     0.02    -0.01     0.01     0.02    69.88
 -0.27     0.15    -0.25     0.41     0.39   129.58     0.35    -0.21     0.16     0.45     0.44    69.20     0.71    -0.08     0.06     0.10     0.14    47.55
 -0.11     0.04     0.09     0.18     0.15    52.69     0.11    -0.03    -0.44     0.47     0.46   165.00     0.30    -0.00    -0.00     0.35     0.35     1.01
 -0.22    -0.10     0.38     0.46     0.45    32.57     0.10     0.05    -0.38     0.41     0.39   163.63     0.74     0.12     0.05    -0.00     0.13    90.02
  0.23    -0.25    -0.30     0.47     0.45   131.25    -0.23     0.23     0.13     0.37     0.35    67.80     0.66    -0.00     0.02     0.17     0.17     6.74
  0.09    -0.11     0.46     0.49     0.48    17.63    -0.08     0.10    -0.45     0.48     0.47   164.34     0.96    -0.02     0.01    -0.01     0.02   108.30
 -0.38     0.03    -0.24     0.46     0.45   122.30     0.36     0.02     0.28     0.47     0.46    51.65     0.86     0.02    -0.05    -0.04     0.07   129.15
 -0.31     0.24     0.25     0.48     0.46    57.54     0.30    -0.24    -0.28     0.49     0.48   126.52     0.93     0.01     0.00     0.03     0.04    17.90
 -0.35    -0.19     0.26     0.49     0.48    57.49     0.35     0.19    -0.27     0.50     0.48   124.13     0.97    -0.00    -0.00     0.02     0.02     0.15
 -0.22    -0.43    -0.03     0.49     0.48    93.06     0.22     0.43     0.01     0.49     0.48    88.80     0.97    -0.00    -0.00     0.02     0.02     0.07
 -0.11    -0.25     0.32     0.43     0.42    40.30     0.15     0.32    -0.32     0.49     0.48   132.28     0.84    -0.04    -0.07     0.00     0.08    89.59
 -0.18    -0.15    -0.07     0.27     0.24   106.39     0.16     0.15    -0.29     0.38     0.36   143.22     0.28     0.02     0.00     0.36     0.36     3.59
  0.02    -0.48    -0.02     0.50     0.48    92.89    -0.02     0.48     0.01     0.49     0.48    88.44     0.98    -0.00     0.00     0.01     0.01    13.19
 -0.15     0.25    -0.17     0.35     0.33   120.20     0.14    -0.25    -0.14     0.34     0.32   116.23     0.38     0.01     0.00     0.31     0.31     1.30
  0.38     0.03    -0.31     0.50     0.49   128.99    -0.38    -0.03     0.29     0.49     0.48    52.48     0.97     0.00    -0.00     0.02     0.02    17.85
 -0.02     0.42     0.02     0.43     0.42    87.00     0.02    -0.41    -0.14     0.45     0.44   108.84     0.76    -0.00    -0.00     0.12     0.12     2.57
 -0.28    -0.13    -0.36     0.49     0.48   139.15     0.28     0.13     0.28     0.44     0.42    47.59     0.85     0.00     0.00     0.08     0.08     0.27
 -0.34    -0.04    -0.34     0.50     0.48   134.40     0.34     0.04     0.32     0.48     0.47    47.66     0.95     0.00     0.00     0.02     0.02     0.07
 -0.02     0.22    -0.06     0.25     0.23   104.71     0.22     0.04    -0.21     0.32     0.31   132.22     0.15    -0.21    -0.26     0.26     0.42    51.38
  0.39    -0.25    -0.15     0.49     0.48   107.73    -0.36     0.25     0.16     0.48     0.47    70.38     0.94    -0.03    -0.00    -0.01     0.03   111.01
 -0.33     0.17     0.13     0.41     0.40    70.47     0.29    -0.18    -0.27     0.44     0.43   128.13     0.72     0.05     0.01     0.13     0.14    20.11
 -0.00    -0.23     0.38     0.46     0.44    31.71     0.01     0.18    -0.42     0.47     0.46   156.63     0.86    -0.01     0.05     0.05     0.07    46.63
  0.21    -0.04    -0.09     0.25     0.23   112.59    -0.18     0.10    -0.29     0.37     0.35   144.87     0.24    -0.03    -0.06     0.38     0.38     9.84
 -0.03    -0.05    -0.11     0.17     0.13   152.05     0.03     0.06    -0.35     0.37     0.36   168.11     0.08    -0.01    -0.01     0.46     0.46     1.62
